Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-September-2022,265.00,268.35,260.10,262.25,263.516313989821789228,814485,18674,214630085.00,293353,36.02,8.25,-2.75
26-September-2022,276.90,276.90,260.05,264.35,265.413325419955568077,1732088,40645,459719236.00,674423,38.94,16.85,-12.55
23-September-2022,283.50,286.90,278.30,279.60,281.405946578349280182,1131676,20331,318460356.00,345872,30.56,8.60,-3.90
22-September-2022,274.05,283.00,274.05,280.70,279.600319326898527971,787281,14659,220124019.00,274820,34.91,8.95,6.65
21-September-2022,280.10,283.30,277.05,277.90,279.665431718338526536,986546,17558,275902813.00,361989,36.69,6.25,-2.20
20-September-2022,285.00,287.60,279.55,280.10,283.389153121336247448,1036335,21050,293686098.00,411452,39.70,8.05,-4.90
19-September-2022,291.50,294.80,280.30,281.95,288.572661158420649340,1610434,15209,464727225.00,1020683,63.38,14.50,-9.55
16-September-2022,299.00,299.90,287.00,290.60,292.893582407816433916,2304478,33803,674966817.00,831113,36.07,12.90,-8.40
15-September-2022,318.40,320.90,304.60,314.10,314.020530075357975871,3825607,50495,1201319138.00,1152624,30.13,16.30,-4.30
14-September-2022,277.00,314.80,272.35,305.45,297.790798308597936239,5497924,76491,1637231177.00,1720063,31.29,42.45,28.45
13-September-2022,275.30,279.55,272.60,277.65,276.479614000697272087,760105,12327,210153537.00,297399,39.13,6.95,2.35
12-September-2022,267.10,271.95,267.10,270.25,268.911893526835345646,283339,4286,76193227.00,103229,36.43,4.85,3.15
9-September-2022,264.15,269.65,263.95,266.55,266.848109729651583056,996048,14854,265793526.00,548594,55.08,5.70,2.40
8-September-2022,263.70,265.05,261.00,262.30,262.862369617683312099,386172,8280,101510087.00,170612,44.18,4.05,-1.40
7-September-2022,261.75,263.35,260.20,262.05,261.813371449649575802,216880,3773,56782084.00,76678,35.36,3.15,0.30
